tripduration,start station name,end station name,bikeid,usertype,birth year,age,gender
580,Exchange Place,Liberty Light Rail,33651,Subscriber,1975,43,Male
626,Exchange Place,Newport Pkwy,29308,Subscriber,1989,29,Male
5393,Exchange Place,Exchange Place,26257,Customer,1990,28,Male
5187,Exchange Place,Exchange Place,29229,Customer,1979,39,Male
339,Exchange Place,Grove St PATH,33591,Subscriber,1955,63,Male
462,Exchange Place,Newport PATH,33587,Customer,1989,29,Male
122,Exchange Place,Harborside,29306,Subscriber,1969,49,Unknown
109,Exchange Place,Exchange Place,33625,Customer,1969,49,Unknown
896,Exchange Place,Morris Canal,33563,Customer,1969,49,Unknown
769,Exchange Place,Morris Canal,29437,Customer,1969,49,Unknown
1357,Exchange Place,Newport PATH,33605,Subscriber,1990,28,Male
1355,Exchange Place,Newport PATH,26306,Customer,1969,49,Unknown
1344,Exchange Place,Newport PATH,33625,Subscriber,1987,31,Female
4614,Exchange Place,Newport PATH,29658,Customer,1969,49,Unknown
2140,Exchange Place,Newport PATH,29229,Customer,1969,49,Unknown
993,Exchange Place,Jersey & 6th St,33682,Customer,1969,49,Unknown
959,Exchange Place,Jersey & 6th St,29231,Customer,1969,49,Unknown
686,Exchange Place,Morris Canal,29437,Customer,1969,49,Unknown
775,Exchange Place,Hamilton Park,29290,Subscriber,1969,49,Unknown
536,Exchange Place,Newport Pkwy,29588,Subscriber,1987,31,Male
3376,Exchange Place,Paulus Hook,29610,Customer,1969,49,Unknown
4482,Exchange Place,Warren St,29472,Customer,1992,26,Male
3265,Exchange Place,Washington St,26257,Customer,1969,49,Unknown
3169,Exchange Place,Washington St,33612,Customer,1969,49,Unknown
466,Exchange Place,Jersey & 3rd,26302,Subscriber,1960,60,Male
237,Exchange Place,Harborside,29243,Subscriber,1991,27,Male
155,Exchange Place,Harborside,33571,Subscriber,1978,40,Male
545,Exchange Place,Grove St PATH,26211,Subscriber,1975,43,Male
228,Exchange Place,Columbus Drive,29540,Subscriber,1968,50,Male
1589,Exchange Place,City Hall,29610,Customer,1992,26,Female
1585,Exchange Place,City Hall,26263,Customer,1991,27,Female
1702,Exchange Place,Exchange Place,29521,Customer,1988,30,Male
16780,Exchange Place,Lafayette Park,29660,Customer,1969,49,Unknown
1087,Exchange Place,Lafayette Park,28857,Customer,1969,49,Unknown
216,Exchange Place,Essex Light Rail,29681,Subscriber,1985,33,Female
1769,Exchange Place,Lincoln Park,29551,Subscriber,1977,41,Male
687,Exchange Place,Liberty Light Rail,27258,Subscriber,1983,35,Male
991,Exchange Place,Columbus Drive,29227,Subscriber,1960,58,Male
405,Exchange Place,Jersey & 3rd,33612,Subscriber,1988,30,Male
397,Exchange Place,Jersey & 3rd,29521,Subscriber,1990,28,Male
1166,Exchange Place,Washington St,29121,Subscriber,1994,24,Female
231,Exchange Place,Morris Canal,29236,Subscriber,1988,30,Male
573,Exchange Place,Newport Pkwy,29288,Subscriber,1981,37,Male
502,Exchange Place,Newport Pkwy,29617,Subscriber,1974,44,Male
762,Exchange Place,Morris Canal,29440,Customer,1969,49,Unknown
192,Exchange Place,Essex Light Rail,26214,Subscriber,1968,50,Male
832,Exchange Place,City Hall,26194,Subscriber,1990,28,Male
744,Exchange Place,Liberty Light Rail,29255,Subscriber,1985,33,Female
610,Exchange Place,Newport Pkwy,33566,Subscriber,1985,33,Female
379,Exchange Place,Newport PATH,29297,Subscriber,1963,55,Male
219,Exchange Place,Morris Canal,29214,Subscriber,1983,35,Male
490,Exchange Place,Jersey & 3rd,29295,Subscriber,1986,32,Female
332,Exchange Place,Harborside,29231,Subscriber,1985,33,Male
2466,Exchange Place,Manila & 1st,26235,Subscriber,1985,33,Male
404,Exchange Place,City Hall,33648,Subscriber,1985,33,Male
395,Exchange Place,City Hall,29460,Subscriber,1986,32,Female
142,Exchange Place,Essex Light Rail,28857,Subscriber,1979,39,Male
278,Exchange Place,Morris Canal,26253,Subscriber,1955,63,Female
1581,Exchange Place,Baldwin at Montgomery,33677,Subscriber,1986,32,Male
478,Exchange Place,Newport Pkwy,29529,Subscriber,1987,31,Male
184,Exchange Place,Essex Light Rail,26151,Subscriber,1978,40,Male
999,Exchange Place,Dixon Mills,26277,Subscriber,1992,26,Male
267,Exchange Place,City Hall,33664,Subscriber,1980,38,Male
820,Exchange Place,Bergen Ave,29660,Subscriber,1973,45,Male
214,Exchange Place,Morris Canal,26205,Subscriber,1993,25,Male
2069,Exchange Place,Exchange Place,26255,Subscriber,1996,22,Female
2039,Exchange Place,Exchange Place,29217,Subscriber,1995,23,Female
394,Exchange Place,Newport PATH,29253,Subscriber,1993,25,Male
464,Exchange Place,Newport Pkwy,33578,Subscriber,1978,40,Male
515,Exchange Place,Marin Light Rail,26251,Subscriber,1983,35,Male
651,Exchange Place,Newport Pkwy,29615,Subscriber,1986,32,Male
266,Exchange Place,Morris Canal,26161,Subscriber,1987,31,Male
195,Exchange Place,Morris Canal,29671,Subscriber,1988,30,Male
90,Exchange Place,Paulus Hook,33669,Subscriber,1975,43,Male
417,Exchange Place,Newport PATH,29629,Subscriber,1985,33,Male
80,Exchange Place,Paulus Hook,26310,Subscriber,1992,26,Male
1166,Exchange Place,Grand St,29582,Subscriber,56,56,Male
720,Exchange Place,Grove St PATH,29490,Subscriber,1992,26,Unknown
340,Exchange Place,Grove St PATH,29586,Subscriber,1986,32,Male
822,Exchange Place,Jersey & 6th St,33586,Customer,1969,49,Unknown
182,Exchange Place,Morris Canal,26233,Subscriber,1976,42,Male
220,Exchange Place,Warren St,29495,Subscriber,1963,53,Female
295,Exchange Place,Grove St PATH,26254,Subscriber,1984,34,Male
891,Exchange Place,Communipaw & Berry Lane,33674,Subscriber,1981,37,Male
227,Exchange Place,Morris Canal,33604,Subscriber,1983,35,Male
355,Exchange Place,Grove St PATH,29203,Subscriber,1989,29,Female
255,Exchange Place,Marin Light Rail,26220,Subscriber,1991,27,Male
1077,Exchange Place,Christ Hospital,29298,Subscriber,1983,35,Male
496,Exchange Place,Washington St,33662,Customer,1969,49,Unknown
363,Exchange Place,Newport Pkwy,29628,Subscriber,1941,77,Female
263,Exchange Place,Morris Canal,26151,Subscriber,1956,62,Male
1721,Exchange Place,Leonard Gordon Park,33607,Subscriber,1976,42,Male
459,Exchange Place,Newport Pkwy,28857,Subscriber,1986,32,Male
219,Exchange Place,Columbus Drive,26238,Subscriber,56,56,Female
1007,Exchange Place,Communipaw & Berry Lane,33680,Subscriber,1994,24,Male
424,Exchange Place,Hamilton Park,33586,Subscriber,1956,62,Male
1569,Exchange Place,Leonard Gordon Park,29615,Subscriber,1987,31,Male
296,Exchange Place,Morris Canal,29455,Subscriber,1980,38,Male
298,Exchange Place,Morris Canal,26279,Subscriber,1969,49,Unknown
322,Exchange Place,Marin Light Rail,26192,Subscriber,1988,30,Male
494,Exchange Place,Morris Canal,29489,Customer,1969,49,Unknown
491,Exchange Place,Morris Canal,33587,Customer,1969,49,Unknown
695,Exchange Place,Newport Pkwy,26171,Subscriber,1991,27,Male
241,Exchange Place,Warren St,29576,Subscriber,1975,43,Male
272,Exchange Place,York St,33649,Subscriber,1980,38,Male
301,Exchange Place,Grove St PATH,29245,Subscriber,1973,45,Male
273,Exchange Place,Morris Canal,26299,Subscriber,1989,29,Female
357,Exchange Place,Marin Light Rail,29582,Subscriber,1988,30,Male
265,Exchange Place,Morris Canal,33625,Subscriber,1990,28,Male
468,Exchange Place,Newport Pkwy,26220,Subscriber,1991,27,Male
599,Exchange Place,Hamilton Park,33579,Subscriber,1988,30,Female
229,Exchange Place,Warren St,26229,Subscriber,1984,34,Male
234,Exchange Place,Morris Canal,29267,Subscriber,1991,27,Male
229,Exchange Place,Morris Canal,29218,Subscriber,1987,31,Male
995,Exchange Place,Lafayette Park,26228,Subscriber,1986,32,Male
474,Exchange Place,Morris Canal,33679,Subscriber,1992,26,Male
272,Exchange Place,Warren St,26288,Subscriber,1971,47,Male
276,Exchange Place,York St,29591,Subscriber,1986,32,Male
461,Exchange Place,Newport PATH,29644,Subscriber,1991,27,Male
901,Exchange Place,Hamilton Park,29121,Subscriber,1977,41,Male
388,Exchange Place,Jersey & 3rd,26289,Subscriber,1985,33,Male
367,Exchange Place,Morris Canal,29204,Subscriber,1974,44,Male
750,Exchange Place,McGinley Square,26274,Subscriber,1985,33,Male
222,Exchange Place,Grove St PATH,29681,Subscriber,1966,52,Male
229,Exchange Place,Essex Light Rail,29489,Subscriber,1980,38,Male
482,Exchange Place,Jersey & 3rd,29569,Subscriber,1988,30,Female
206,Exchange Place,Harborside,29530,Subscriber,1991,27,Male
315,Exchange Place,Grove St PATH,29206,Subscriber,1988,30,Male
206,Exchange Place,Morris Canal,26316,Subscriber,1994,24,Female
207,Exchange Place,York St,29124,Subscriber,1988,30,Male
527,Exchange Place,Grand St,29551,Subscriber,1994,24,Male
306,Exchange Place,Morris Canal,33595,Subscriber,1980,38,Male
324,Exchange Place,Essex Light Rail,26287,Subscriber,1989,29,Male
293,Exchange Place,Essex Light Rail,29533,Subscriber,1995,23,Female
412,Exchange Place,Newport Pkwy,29622,Subscriber,1973,45,Male
127,Exchange Place,Paulus Hook,33587,Subscriber,1966,52,Male
441,Exchange Place,Van Vorst Park,33660,Subscriber,56,56,Male
409,Exchange Place,Van Vorst Park,29299,Subscriber,56,56,Female
1789,Exchange Place,Morris Canal,29284,Customer,1969,49,Unknown
408,Exchange Place,Morris Canal,29268,Customer,1969,49,Unknown
393,Exchange Place,Morris Canal,29204,Customer,1969,49,Unknown
1033,Exchange Place,JC Medical Center,29605,Customer,1969,49,Unknown
354,Exchange Place,JC Medical Center,29474,Subscriber,1973,45,Male
390,Exchange Place,Washington St,26312,Customer,1969,49,Unknown
385,Exchange Place,JC Medical Center,29435,Subscriber,1956,62,Male
670,Exchange Place,Exchange Place,33611,Subscriber,1984,34,Male
1050,Exchange Place,Newport PATH,26271,Subscriber,1988,30,Male
208,Exchange Place,Essex Light Rail,29605,Subscriber,1974,44,Male
737,Exchange Place,Newport PATH,33680,Subscriber,1969,49,Male
261,Exchange Place,Morris Canal,33563,Subscriber,1983,35,Male
481,Exchange Place,Newport Pkwy,33649,Subscriber,1990,28,Male
239,Exchange Place,City Hall,26220,Subscriber,1988,30,Male
151,Exchange Place,Grand St,29610,Subscriber,1959,59,Male
216,Exchange Place,Morris Canal,33604,Subscriber,1980,38,Male
252,Exchange Place,Morris Canal,29250,Subscriber,1976,42,Female
317,Exchange Place,Morris Canal,33611,Subscriber,1987,31,Male
232,Exchange Place,Columbus Drive,26203,Subscriber,1985,33,Male
419,Exchange Place,Newport Pkwy,29653,Subscriber,1941,77,Female
571,Exchange Place,Newport Pkwy,29668,Subscriber,1986,32,Male
262,Exchange Place,Morris Canal,29308,Subscriber,1974,44,Male
295,Exchange Place,Grove St PATH,33630,Subscriber,1993,25,Male
178,Exchange Place,Essex Light Rail,29386,Subscriber,1995,23,Female
531,Exchange Place,Brunswick & 6th,29206,Subscriber,1976,42,Male
184,Exchange Place,Columbus Drive,29530,Subscriber,1985,33,Male
1791,Exchange Place,Leonard Gordon Park,29474,Subscriber,1987,31,Male
369,Exchange Place,Van Vorst Park,33682,Subscriber,1974,44,Male
455,Exchange Place,Manila & 1st,26316,Subscriber,1980,38,Male
1426,Exchange Place,Riverview Park,29273,Subscriber,1983,35,Male
319,Exchange Place,Manila & 1st,26293,Subscriber,1988,30,Male
508,Exchange Place,Marin Light Rail,29272,Subscriber,1985,33,Male
355,Exchange Place,Van Vorst Park,33586,Subscriber,1969,49,Male
432,Exchange Place,Morris Canal,29676,Subscriber,1984,34,Male
823,Exchange Place,Newport Pkwy,29577,Subscriber,1991,27,Male
283,Exchange Place,Morris Canal,26151,Subscriber,1980,38,Male
408,Exchange Place,Newport Pkwy,29610,Subscriber,1991,27,Male
256,Exchange Place,Marin Light Rail,26287,Subscriber,1988,30,Male
1468,Exchange Place,Oakland Ave,33658,Subscriber,1981,37,Male
256,Exchange Place,Morris Canal,29284,Subscriber,1990,28,Male
299,Exchange Place,Warren St,33634,Subscriber,1972,46,Male
262,Exchange Place,Morris Canal,29217,Subscriber,1989,29,Female
226,Exchange Place,Warren St,29295,Subscriber,1975,43,Male
315,Exchange Place,Morris Canal,29589,Subscriber,1987,31,Male
331,Exchange Place,Morris Canal,29460,Subscriber,1975,43,Male
265,Exchange Place,Morris Canal,29614,Subscriber,1974,44,Male
247,Exchange Place,Warren St,29681,Subscriber,1990,28,Male
337,Exchange Place,Van Vorst Park,26235,Subscriber,1969,49,Male
460,Exchange Place,Grove St PATH,29618,Subscriber,1979,39,Male
610,Exchange Place,Hamilton Park,26298,Subscriber,1988,30,Female
680,Exchange Place,Liberty Light Rail,26276,Subscriber,1986,32,Male
507,Exchange Place,Van Vorst Park,33680,Subscriber,1970,48,Male
721,Exchange Place,Essex Light Rail,29235,Subscriber,1991,27,Female
310,Exchange Place,Essex Light Rail,29458,Subscriber,1991,27,Male
168,Exchange Place,Essex Light Rail,26186,Subscriber,1986,32,Male
294,Exchange Place,Warren St,29225,Subscriber,1987,31,Male
212,Exchange Place,Warren St,29593,Subscriber,1987,31,Male
1040,Exchange Place,Heights Elevator,26431,Subscriber,1992,26,Male
301,Exchange Place,York St,26271,Subscriber,1970,48,Male
296,Exchange Place,Essex Light Rail,29603,Subscriber,1987,31,Male
264,Exchange Place,York St,29497,Subscriber,1986,32,Male
641,Exchange Place,Brunswick & 6th,29443,Subscriber,1960,60,Male
1074,Exchange Place,Journal Square,29245,Subscriber,1972,46,Male
227,Exchange Place,York St,26302,Subscriber,1988,30,Male
149,Exchange Place,Essex Light Rail,26210,Subscriber,1987,31,Male
334,Exchange Place,Grove St PATH,26182,Customer,1969,49,Unknown
138,Exchange Place,Grand St,33648,Subscriber,1994,24,Male
196,Exchange Place,Morris Canal,29443,Subscriber,1980,38,Female
785,Exchange Place,Columbus Drive,26182,Subscriber,1983,35,Male
145,Exchange Place,Paulus Hook,33563,Subscriber,1966,52,Male
96,Exchange Place,Paulus Hook,26251,Subscriber,1975,43,Male
445,Exchange Place,Newport PATH,29443,Subscriber,1973,45,Male
219,Exchange Place,Morris Canal,26186,Subscriber,1977,41,Male
95,Exchange Place,Harborside,33604,Subscriber,56,56,Male
653,Exchange Place,Newport Pkwy,30546,Subscriber,1987,31,Female
221,Exchange Place,Morris Canal,29458,Subscriber,1977,41,Male
387,Exchange Place,Newark Ave,33614,Subscriber,1969,49,Unknown
495,Exchange Place,City Hall,26279,Subscriber,1992,26,Female
491,Exchange Place,City Hall,26195,Subscriber,1993,25,Female
302,Exchange Place,Morris Canal,29576,Subscriber,1981,37,Male
368,Exchange Place,Newport PATH,29635,Subscriber,1993,25,Male
321,Exchange Place,Van Vorst Park,27258,Subscriber,1986,32,Male
121,Exchange Place,Harborside,29295,Subscriber,1988,30,Male
537,Exchange Place,JC Medical Center,29242,Subscriber,1992,26,Male
235,Exchange Place,Warren St,29538,Subscriber,1963,53,Female
388,Exchange Place,Warren St,33571,Subscriber,56,56,Male
461,Exchange Place,City Hall,29231,Subscriber,1971,47,Male
131,Exchange Place,Grand St,26171,Subscriber,1969,49,Unknown
1015,Exchange Place,Exchange Place,29121,Subscriber,1994,24,Female
319,Exchange Place,Grove St PATH,29471,Subscriber,1971,47,Female
441,Exchange Place,Newport Pkwy,33649,Subscriber,1990,28,Male
275,Exchange Place,Morris Canal,33648,Subscriber,1983,35,Male
572,Exchange Place,Jersey & 6th St,33571,Subscriber,1956,62,Male
1363,Exchange Place,Riverview Park,26201,Subscriber,1983,35,Male
397,Exchange Place,Grove St PATH,26431,Subscriber,1985,33,Male
378,Exchange Place,Grove St PATH,26271,Subscriber,1981,37,Male
368,Exchange Place,Manila & 1st,33557,Subscriber,1980,38,Male
384,Exchange Place,Newport Pkwy,29121,Subscriber,1991,27,Male
222,Exchange Place,York St,29269,Subscriber,1980,38,Male
520,Exchange Place,Newport Pkwy,33670,Subscriber,1963,55,Male
749,Exchange Place,Lafayette Park,26227,Subscriber,1985,33,Male
1283,Exchange Place,Newport PATH,29225,Subscriber,1991,27,Male
94,Exchange Place,Paulus Hook,29497,Subscriber,1960,58,Male
197,Exchange Place,Morris Canal,33588,Subscriber,1974,44,Male
702,Exchange Place,Essex Light Rail,33638,Subscriber,1989,29,Female
1569,Exchange Place,Columbus Drive,33621,Customer,1969,49,Unknown
1373,Exchange Place,Warren St,26210,Customer,1969,49,Unknown
206,Exchange Place,Essex Light Rail,33608,Subscriber,1991,27,Female
450,Exchange Place,Newark Ave,26275,Subscriber,1983,35,Male
332,Exchange Place,Grove St PATH,29446,Subscriber,1976,42,Male
965,Exchange Place,Lafayette Park,33586,Subscriber,1986,32,Male
1645,Exchange Place,Leonard Gordon Park,29516,Subscriber,1976,42,Male
289,Exchange Place,Essex Light Rail,26296,Subscriber,1980,38,Male
1142,Exchange Place,Journal Square,33589,Subscriber,1979,39,Male
346,Exchange Place,Essex Light Rail,26259,Subscriber,1991,27,Male
252,Exchange Place,Warren St,26223,Subscriber,1975,43,Male
169,Exchange Place,York St,29662,Subscriber,1980,38,Male
711,Exchange Place,Jersey & 6th St,29305,Subscriber,1988,30,Female
372,Exchange Place,Columbus Drive,26265,Subscriber,1969,49,Unknown
198,Exchange Place,Columbus Drive,29451,Subscriber,1986,32,Male
542,Exchange Place,Exchange Place,33568,Subscriber,1969,49,Unknown
413,Exchange Place,City Hall,33580,Subscriber,1963,65,Female
134,Exchange Place,Essex Light Rail,29643,Subscriber,1986,32,Male
140,Exchange Place,Essex Light Rail,33612,Subscriber,1984,34,Male
190,Exchange Place,Essex Light Rail,29302,Subscriber,1991,27,Male
196,Exchange Place,York St,33657,Subscriber,1988,30,Male
270,Exchange Place,York St,33638,Subscriber,1986,32,Male
504,Exchange Place,Newport PATH,33568,Subscriber,1991,27,Male
478,Exchange Place,Jersey & 3rd,29518,Subscriber,1960,60,Male
260,Exchange Place,City Hall,29197,Subscriber,1985,33,Male
295,Exchange Place,Essex Light Rail,29511,Subscriber,1992,26,Male
265,Exchange Place,Marin Light Rail,26189,Subscriber,1988,30,Male
641,Exchange Place,Paulus Hook,29487,Subscriber,1987,31,Male
282,Exchange Place,Essex Light Rail,29596,Subscriber,1981,37,Unknown
384,Exchange Place,Marin Light Rail,29614,Subscriber,1988,30,Male
196,Exchange Place,Warren St,33568,Subscriber,1990,28,Male
135,Exchange Place,Harborside,33571,Subscriber,1989,29,Male
472,Exchange Place,Essex Light Rail,29589,Subscriber,1987,31,Male
125,Exchange Place,Grand St,29530,Subscriber,1994,24,Male
734,Exchange Place,Marin Light Rail,26211,Subscriber,1989,29,Female
814,Exchange Place,Marin Light Rail,33558,Subscriber,1984,34,Male
822,Exchange Place,Jersey & 6th St,26224,Subscriber,1977,41,Male
138,Exchange Place,Paulus Hook,33676,Subscriber,1966,52,Male
337,Exchange Place,Newport PATH,33606,Subscriber,1978,40,Male
96,Exchange Place,Paulus Hook,29124,Subscriber,1975,43,Male
357,Exchange Place,Washington St,33600,Subscriber,1960,60,Male
448,Exchange Place,Newport PATH,33638,Subscriber,1973,45,Female
116,Exchange Place,Harborside,33670,Subscriber,1978,40,Male
105,Exchange Place,Harborside,33612,Subscriber,1978,40,Male
192,Exchange Place,Morris Canal,29498,Subscriber,1993,25,Male
278,Exchange Place,Essex Light Rail,29643,Subscriber,56,56,Male
565,Exchange Place,Washington St,29575,Customer,1969,49,Unknown
434,Exchange Place,Van Vorst Park,26268,Subscriber,1971,47,Male
654,Exchange Place,Brunswick St,29524,Subscriber,1985,33,Male
464,Exchange Place,City Hall,33627,Subscriber,1984,34,Male
475,Exchange Place,City Hall,33636,Subscriber,1992,26,Female
538,Exchange Place,City Hall,29603,Subscriber,1994,24,Female
447,Exchange Place,City Hall,33611,Subscriber,1993,25,Female
445,Exchange Place,City Hall,33674,Subscriber,1978,40,Female
235,Exchange Place,Columbus Drive,26203,Subscriber,1990,28,Male
153,Exchange Place,Harborside,33635,Subscriber,1983,35,Male
716,Exchange Place,Exchange Place,33652,Subscriber,1983,35,Male
491,Exchange Place,JC Medical Center,33621,Subscriber,1986,32,Male
405,Exchange Place,Newport PATH,29584,Subscriber,1993,25,Male
461,Exchange Place,Newport PATH,29506,Subscriber,1989,29,Female
385,Exchange Place,Jersey & 3rd,29470,Subscriber,1990,28,Male
837,Exchange Place,Grove St PATH,29279,Subscriber,1963,53,Male
269,Exchange Place,Morris Canal,29201,Subscriber,1976,42,Female
203,Exchange Place,Essex Light Rail,33629,Subscriber,1974,44,Male
353,Exchange Place,Jersey & 3rd,29227,Subscriber,1956,62,Male
709,Exchange Place,Liberty Light Rail,33635,Subscriber,1986,32,Male
1454,Exchange Place,5 Corners Library,29529,Subscriber,1985,33,Male
374,Exchange Place,Newport Pkwy,33594,Subscriber,1941,77,Female
1631,Exchange Place,Leonard Gordon Park,29203,Subscriber,1976,42,Male
656,Exchange Place,Newport Pkwy,29232,Subscriber,1986,32,Male
251,Exchange Place,Warren St,29445,Subscriber,1969,49,Unknown
329,Exchange Place,Grove St PATH,26239,Subscriber,1971,47,Male
256,Exchange Place,Morris Canal,33634,Subscriber,1989,29,Female
1345,Exchange Place,Grove St PATH,33606,Subscriber,1993,25,Male
1249,Exchange Place,Journal Square,29519,Subscriber,1987,31,Male
353,Exchange Place,Manila & 1st,29242,Subscriber,1980,38,Male
322,Exchange Place,Morris Canal,29458,Subscriber,1980,38,Male
209,Exchange Place,Columbus Drive,29301,Subscriber,1982,36,Male
