tripduration,start station name,end station name,bikeid,usertype,birth year,age,gender
251,Grove St PATH,Marin Light Rail,26295,Subscriber,1988,30,Female
232,Grove St PATH,Marin Light Rail,29596,Subscriber,1983,35,Male
290,Grove St PATH,Hamilton Park,26186,Subscriber,1990,28,Female
288,Grove St PATH,Monmouth and 6th,26161,Subscriber,1987,31,Female
244,Grove St PATH,Marin Light Rail,29499,Subscriber,1963,55,Female
239,Grove St PATH,Brunswick St,26171,Subscriber,1984,34,Male
230,Grove St PATH,Hamilton Park,29469,Subscriber,1975,43,Male
254,Grove St PATH,Hamilton Park,29255,Subscriber,1977,41,Female
420,Grove St PATH,Liberty Light Rail,29470,Subscriber,1974,44,Male
626,Grove St PATH,Liberty Light Rail,26308,Customer,1991,27,Male
273,Grove St PATH,Hamilton Park,29218,Subscriber,1976,42,Male
270,Grove St PATH,Brunswick St,29215,Subscriber,1978,40,Female
298,Grove St PATH,Brunswick & 6th,33599,Subscriber,1976,42,Unknown
156,Grove St PATH,Marin Light Rail,29269,Subscriber,1985,33,Female
256,Grove St PATH,Marin Light Rail,26177,Subscriber,1975,43,Male
232,Grove St PATH,Dixon Mills,26164,Subscriber,1976,42,Male
441,Grove St PATH,Morris Canal,26205,Subscriber,1983,35,Male
253,Grove St PATH,JC Medical Center,29635,Subscriber,1989,29,Male
367,Grove St PATH,Brunswick & 6th,26216,Subscriber,1988,30,Male
306,Grove St PATH,Montgomery St,33554,Subscriber,1980,38,Male
376,Grove St PATH,Hamilton Park,33587,Subscriber,1956,62,Male
298,Grove St PATH,City Hall,29611,Subscriber,1963,53,Male
290,Grove St PATH,Brunswick St,33610,Subscriber,1979,39,Male
656,Grove St PATH,Marin Light Rail,29477,Subscriber,1990,28,Male
660,Grove St PATH,Liberty Light Rail,26159,Subscriber,1990,28,Male
287,Grove St PATH,Brunswick & 6th,29435,Subscriber,1992,26,Male
290,Grove St PATH,Hamilton Park,33580,Subscriber,1979,39,Male
292,Grove St PATH,Hamilton Park,33589,Subscriber,1972,46,Male
162,Grove St PATH,Jersey & 3rd,26306,Subscriber,1973,45,Female
345,Grove St PATH,Morris Canal,29205,Subscriber,1976,42,Male
211,Grove St PATH,Warren St,29241,Subscriber,1978,40,Male
235,Grove St PATH,Columbus Drive,29447,Subscriber,1981,37,Male
217,Grove St PATH,Jersey & 6th St,33657,Subscriber,1968,50,Male
272,Grove St PATH,Jersey & 6th St,29261,Subscriber,1992,26,Female
856,Grove St PATH,Fairmount Ave,29275,Subscriber,1981,37,Male
255,Grove St PATH,Hamilton Park,29653,Subscriber,1987,31,Female
247,Grove St PATH,Dixon Mills,26287,Subscriber,1986,32,Male
122,Grove St PATH,Jersey & 3rd,26264,Subscriber,1991,27,Male
181,Grove St PATH,Dixon Mills,29288,Subscriber,1984,34,Male
384,Grove St PATH,Brunswick St,29676,Subscriber,1981,37,Male
235,Grove St PATH,Dixon Mills,29677,Subscriber,1976,42,Male
237,Grove St PATH,Hamilton Park,29521,Subscriber,1986,32,Female
282,Grove St PATH,Brunswick St,33613,Subscriber,1985,33,Male
499,Grove St PATH,Jersey & 6th St,29445,Subscriber,1983,35,Female
187,Grove St PATH,Dixon Mills,33576,Subscriber,1970,48,Male
307,Grove St PATH,Brunswick St,29231,Subscriber,1984,34,Male
179,Grove St PATH,Jersey & 6th St,33674,Subscriber,1984,34,Male
432,Grove St PATH,Brunswick St,29480,Subscriber,1969,49,Unknown
464,Grove St PATH,Jersey & 3rd,29519,Subscriber,1981,37,Female
385,Grove St PATH,Brunswick St,29203,Subscriber,1980,38,Male
701,Grove St PATH,Baldwin at Montgomery,29121,Subscriber,1986,32,Male
359,Grove St PATH,Hamilton Park,29569,Subscriber,1980,38,Female
318,Grove St PATH,Hamilton Park,33600,Subscriber,1987,31,Male
502,Grove St PATH,Dixon Mills,26178,Subscriber,1980,38,Female
265,Grove St PATH,Monmouth and 6th,26225,Subscriber,1977,41,Male
238,Grove St PATH,Hamilton Park,29261,Subscriber,1985,33,Male
246,Grove St PATH,Exchange Place,29246,Subscriber,1969,49,Unknown
962,Grove St PATH,Newport PATH,29643,Subscriber,1989,29,Female
426,Grove St PATH,Van Vorst Park,33680,Subscriber,56,56,Male
224,Grove St PATH,Hamilton Park,29493,Subscriber,1984,34,Male
223,Grove St PATH,Hamilton Park,29668,Subscriber,1988,30,Male
299,Grove St PATH,Montgomery St,29304,Subscriber,1983,35,Male
172,Grove St PATH,Jersey & 3rd,29213,Subscriber,1986,32,Male
190,Grove St PATH,Warren St,26282,Subscriber,1979,39,Male
309,Grove St PATH,Dixon Mills,26166,Subscriber,1977,41,Male
788,Grove St PATH,Liberty Light Rail,29265,Subscriber,1980,38,Male
219,Grove St PATH,Dixon Mills,33614,Subscriber,1986,32,Male
252,Grove St PATH,Marin Light Rail,33681,Subscriber,1970,48,Male
328,Grove St PATH,Hamilton Park,29511,Subscriber,1981,37,Female
293,Grove St PATH,Monmouth and 6th,33603,Subscriber,1991,27,Male
261,Grove St PATH,Hamilton Park,26169,Subscriber,1980,38,Male
1272,Grove St PATH,Monmouth and 6th,33604,Subscriber,1989,29,Female
190,Grove St PATH,Jersey & 6th St,33580,Subscriber,1956,62,Male
501,Grove St PATH,Liberty Light Rail,26179,Subscriber,1990,28,Female
260,Grove St PATH,Van Vorst Park,26275,Subscriber,1974,44,Female
290,Grove St PATH,Hamilton Park,29658,Subscriber,1986,32,Male
453,Grove St PATH,Montgomery St,26431,Subscriber,1967,51,Male
382,Grove St PATH,Brunswick & 6th,26285,Subscriber,1981,37,Female
442,Grove St PATH,Hamilton Park,33602,Subscriber,1973,45,Male
590,Grove St PATH,Montgomery St,29459,Subscriber,1986,32,Male
335,Grove St PATH,Monmouth and 6th,33579,Subscriber,1981,37,Male
285,Grove St PATH,Hamilton Park,26201,Subscriber,1974,44,Female
160,Grove St PATH,Jersey & 3rd,29524,Subscriber,1978,40,Male
144,Grove St PATH,Newark Ave,29230,Subscriber,1963,53,Male
457,Grove St PATH,Brunswick St,29653,Subscriber,1988,30,Female
206,Grove St PATH,Jersey & 3rd,26291,Subscriber,1978,40,Female
526,Grove St PATH,Brunswick St,29618,Subscriber,1993,25,Male
271,Grove St PATH,Monmouth and 6th,29252,Subscriber,1992,26,Female
381,Grove St PATH,Montgomery St,29514,Subscriber,1963,53,Male
253,Grove St PATH,Hamilton Park,26198,Subscriber,1956,62,Male
167,Grove St PATH,Jersey & 3rd,29668,Subscriber,1986,32,Male
390,Grove St PATH,Brunswick St,26204,Subscriber,1980,38,Male
262,Grove St PATH,Van Vorst Park,26259,Subscriber,1981,37,Female
461,Grove St PATH,City Hall,29447,Subscriber,1987,31,Male
161,Grove St PATH,Van Vorst Park,33579,Subscriber,1984,34,Male
394,Grove St PATH,Essex Light Rail,26302,Subscriber,1980,38,Male
264,Grove St PATH,Hamilton Park,29240,Subscriber,1990,28,Male
217,Grove St PATH,Jersey & 6th St,26235,Subscriber,1985,33,Male
267,Grove St PATH,Marin Light Rail,29257,Subscriber,1988,30,Male
265,Grove St PATH,Hamilton Park,33603,Subscriber,1969,49,Unknown
566,Grove St PATH,Liberty Light Rail,29199,Subscriber,1988,30,Male
130,Grove St PATH,Jersey & 3rd,26161,Subscriber,1989,29,Male
309,Grove St PATH,Warren St,29246,Subscriber,1971,47,Male
298,Grove St PATH,Hamilton Park,26219,Subscriber,1971,47,Male
293,Grove St PATH,Marin Light Rail,33599,Subscriber,1980,38,Male
390,Grove St PATH,Hamilton Park,33613,Subscriber,1982,36,Male
176,Grove St PATH,Jersey & 6th St,33569,Subscriber,1986,32,Male
250,Grove St PATH,Grand St,29238,Subscriber,1974,44,Male
549,Grove St PATH,Liberty Light Rail,29575,Subscriber,1986,32,Male
217,Grove St PATH,Van Vorst Park,33554,Subscriber,1964,54,Male
554,Grove St PATH,Lafayette Park,29207,Subscriber,1992,26,Male
208,Grove St PATH,Warren St,26196,Subscriber,1985,33,Male
291,Grove St PATH,Brunswick St,33604,Subscriber,1981,37,Male
249,Grove St PATH,Monmouth and 6th,29524,Subscriber,1979,39,Male
249,Grove St PATH,Monmouth and 6th,26167,Subscriber,1978,40,Male
300,Grove St PATH,Grand St,33561,Subscriber,1990,28,Male
195,Grove St PATH,Jersey & 6th St,26166,Subscriber,1986,32,Male
390,Grove St PATH,Essex Light Rail,33664,Subscriber,1987,31,Male
315,Grove St PATH,York St,33566,Subscriber,1986,32,Male
144,Grove St PATH,Van Vorst Park,29477,Subscriber,1988,30,Male
169,Grove St PATH,Dixon Mills,26258,Subscriber,1949,69,Male
331,Grove St PATH,Hamilton Park,29438,Subscriber,1968,50,Male
253,Grove St PATH,Marin Light Rail,29539,Subscriber,1986,32,Male
153,Grove St PATH,Jersey & 3rd,26277,Subscriber,1984,34,Male
393,Grove St PATH,Hamilton Park,29232,Subscriber,1984,34,Female
198,Grove St PATH,Marin Light Rail,26178,Subscriber,1989,29,Male
247,Grove St PATH,Van Vorst Park,29288,Subscriber,1959,59,Female
374,Grove St PATH,Hamilton Park,29252,Subscriber,1956,62,Female
193,Grove St PATH,Jersey & 3rd,29592,Subscriber,1981,37,Male
256,Grove St PATH,Monmouth and 6th,29233,Subscriber,1986,32,Female
535,Grove St PATH,City Hall,33576,Subscriber,1992,26,Male
273,Grove St PATH,Hamilton Park,33604,Subscriber,1990,28,Male
299,Grove St PATH,Essex Light Rail,33579,Subscriber,1978,40,Male
449,Grove St PATH,Newport Pkwy,29434,Subscriber,1966,52,Male
364,Grove St PATH,Newport PATH,33580,Subscriber,1969,49,Male
433,Grove St PATH,Morris Canal,29305,Subscriber,1986,32,Female
402,Grove St PATH,Newport PATH,29470,Subscriber,1969,49,Unknown
754,Grove St PATH,Marin Light Rail,26198,Subscriber,1991,27,Male
183,Grove St PATH,Marin Light Rail,29240,Subscriber,1963,53,Male
130,Grove St PATH,City Hall,29515,Subscriber,1983,35,Male
382,Grove St PATH,Exchange Place,29297,Subscriber,1970,48,Male
300,Grove St PATH,Harborside,29462,Subscriber,1971,47,Male
204,Grove St PATH,Dixon Mills,26204,Subscriber,1996,22,Female
360,Grove St PATH,Essex Light Rail,29472,Subscriber,1983,35,Male
241,Grove St PATH,Montgomery St,29255,Subscriber,1987,31,Male
403,Grove St PATH,Hamilton Park,29618,Subscriber,1963,53,Male
264,Grove St PATH,Exchange Place,33631,Subscriber,1983,35,Male
173,Grove St PATH,Van Vorst Park,33668,Subscriber,1978,40,Male
292,Grove St PATH,Hamilton Park,33573,Subscriber,1973,45,Female
170,Grove St PATH,York St,29257,Subscriber,1969,49,Unknown
286,Grove St PATH,Exchange Place,29507,Subscriber,1986,32,Male
574,Grove St PATH,Grove St PATH,29260,Subscriber,1986,32,Male
251,Grove St PATH,Brunswick & 6th,26175,Subscriber,1988,30,Male
597,Grove St PATH,Newport PATH,29230,Subscriber,1979,39,Male
229,Grove St PATH,Dixon Mills,29588,Subscriber,1973,45,Male
198,Grove St PATH,Marin Light Rail,26203,Subscriber,1970,48,Male
222,Grove St PATH,Newark Ave,26224,Subscriber,1960,58,Male
72,Grove St PATH,City Hall,33561,Subscriber,1957,61,Male
277,Grove St PATH,Monmouth and 6th,33573,Subscriber,1982,36,Male
249,Grove St PATH,Jersey & 6th St,33640,Subscriber,56,56,Male
447,Grove St PATH,Newport PATH,33609,Subscriber,1970,48,Male
229,Grove St PATH,Jersey & 6th St,29572,Subscriber,1974,44,Female
329,Grove St PATH,Harborside,29445,Subscriber,1980,38,Female
292,Grove St PATH,Hamilton Park,29211,Subscriber,1982,36,Male
306,Grove St PATH,JC Medical Center,33652,Subscriber,1972,46,Male
291,Grove St PATH,Hamilton Park,32417,Subscriber,1989,29,Female
480,Grove St PATH,Liberty Light Rail,29508,Subscriber,1981,37,Female
230,Grove St PATH,Van Vorst Park,29203,Subscriber,1966,52,Male
269,Grove St PATH,Dixon Mills,29301,Subscriber,1977,41,Female
1022,Grove St PATH,Fairmount Ave,33656,Subscriber,1970,48,Male
218,Grove St PATH,Marin Light Rail,29438,Subscriber,1985,33,Female
291,Grove St PATH,Hamilton Park,33604,Subscriber,1990,28,Male
223,Grove St PATH,Dixon Mills,29446,Subscriber,1986,32,Male
323,Grove St PATH,Morris Canal,33599,Subscriber,1954,64,Male
203,Grove St PATH,Jersey & 6th St,26203,Subscriber,1977,41,Male
334,Grove St PATH,Brunswick St,26250,Subscriber,1983,35,Male
275,Grove St PATH,Monmouth and 6th,26295,Subscriber,1983,35,Female
247,Grove St PATH,JC Medical Center,33653,Subscriber,1990,28,Male
360,Grove St PATH,Brunswick & 6th,33634,Subscriber,1993,25,Male
196,Grove St PATH,Dixon Mills,26236,Subscriber,1985,33,Male
240,Grove St PATH,Brunswick St,29681,Subscriber,1980,38,Male
2087,Grove St PATH,Liberty Light Rail,29218,Subscriber,1990,28,Male
287,Grove St PATH,Marin Light Rail,29575,Subscriber,1977,41,Male
164,Grove St PATH,Dixon Mills,29498,Subscriber,1982,36,Male
537,Grove St PATH,Brunswick & 6th,26261,Subscriber,1992,26,Female
249,Grove St PATH,Harborside,29230,Subscriber,1994,24,Male
239,Grove St PATH,Marin Light Rail,29504,Subscriber,1982,36,Male
437,Grove St PATH,Montgomery St,29537,Subscriber,1963,55,Female
297,Grove St PATH,Hamilton Park,29585,Subscriber,1978,40,Male
276,Grove St PATH,Monmouth and 6th,29609,Subscriber,1982,36,Female
218,Grove St PATH,Dixon Mills,26296,Subscriber,1986,32,Male
471,Grove St PATH,Liberty Light Rail,29602,Subscriber,1969,49,Male
1345,Grove St PATH,Newport PATH,29585,Subscriber,1981,37,Male
114,Grove St PATH,Jersey & 3rd,29462,Subscriber,1991,27,Male
167,Grove St PATH,Jersey & 6th St,29221,Subscriber,1986,32,Male
339,Grove St PATH,Monmouth and 6th,26238,Subscriber,1977,41,Male
169,Grove St PATH,York St,26314,Subscriber,1978,40,Male
1010,Grove St PATH,Fairmount Ave,33663,Subscriber,1981,37,Male
326,Grove St PATH,Brunswick & 6th,33563,Subscriber,1992,26,Male
508,Grove St PATH,Hamilton Park,29484,Subscriber,1986,32,Male
286,Grove St PATH,Hamilton Park,26289,Subscriber,1977,41,Female
275,Grove St PATH,JC Medical Center,33626,Subscriber,1969,49,Unknown
336,Grove St PATH,Brunswick & 6th,33597,Subscriber,1989,29,Female
269,Grove St PATH,Marin Light Rail,26224,Subscriber,1963,55,Female
289,Grove St PATH,Monmouth and 6th,33586,Subscriber,1982,36,Female
368,Grove St PATH,Morris Canal,29471,Subscriber,1990,28,Male
344,Grove St PATH,Brunswick St,29533,Subscriber,1990,28,Male
253,Grove St PATH,JC Medical Center,33559,Subscriber,1984,34,Male
657,Grove St PATH,Liberty Light Rail,26610,Subscriber,1990,28,Male
484,Grove St PATH,Liberty Light Rail,33608,Subscriber,1990,28,Female
284,Grove St PATH,Hamilton Park,29613,Subscriber,1990,28,Male
177,Grove St PATH,Columbus Drive,33610,Subscriber,1981,37,Male
312,Grove St PATH,Hamilton Park,26318,Subscriber,1986,32,Male
411,Grove St PATH,Brunswick & 6th,29485,Subscriber,1978,40,Male
267,Grove St PATH,Warren St,29220,Subscriber,1975,43,Male
302,Grove St PATH,Brunswick & 6th,26287,Subscriber,1981,37,Male
698,Grove St PATH,Baldwin at Montgomery,26225,Subscriber,1986,32,Male
182,Grove St PATH,Van Vorst Park,29525,Subscriber,1988,30,Male
179,Grove St PATH,Jersey & 6th St,29537,Subscriber,1970,48,Male
349,Grove St PATH,Brunswick & 6th,29251,Subscriber,1984,34,Male
219,Grove St PATH,Jersey & 6th St,29474,Subscriber,1988,30,Male
305,Grove St PATH,Hamilton Park,26290,Subscriber,1988,30,Male
258,Grove St PATH,Dixon Mills,33623,Subscriber,1984,34,Male
281,Grove St PATH,Monmouth and 6th,26260,Subscriber,1978,40,Male
467,Grove St PATH,Hamilton Park,29447,Subscriber,1956,62,Male
110,Grove St PATH,Newark Ave,29296,Subscriber,1980,38,Male
660,Grove St PATH,Hamilton Park,29220,Subscriber,1988,30,Male
319,Grove St PATH,Monmouth and 6th,29285,Subscriber,1983,35,Female
298,Grove St PATH,Brunswick St,29293,Subscriber,1986,32,Male
247,Grove St PATH,Hamilton Park,33621,Subscriber,1987,31,Female
198,Grove St PATH,Marin Light Rail,33614,Subscriber,1986,32,Male
302,Grove St PATH,Brunswick St,26264,Subscriber,1993,25,Male
195,Grove St PATH,Dixon Mills,33670,Subscriber,1981,37,Male
923,Grove St PATH,Newark Ave,29531,Subscriber,1991,27,Female
319,Grove St PATH,Hamilton Park,29288,Subscriber,1980,38,Male
415,Grove St PATH,Brunswick & 6th,32914,Subscriber,1985,33,Male
185,Grove St PATH,Jersey & 6th St,26199,Subscriber,1981,37,Male
211,Grove St PATH,JC Medical Center,29676,Subscriber,1981,37,Male
940,Grove St PATH,5 Corners Library,33628,Subscriber,1986,32,Male
352,Grove St PATH,Hamilton Park,29283,Subscriber,1987,31,Male
242,Grove St PATH,Brunswick St,26158,Subscriber,1971,47,Male
600,Grove St PATH,Hamilton Park,26213,Subscriber,1980,38,Female
229,Grove St PATH,Van Vorst Park,33589,Subscriber,1984,34,Female
365,Grove St PATH,Brunswick & 6th,31151,Subscriber,1979,39,Male
273,Grove St PATH,Brunswick St,29219,Subscriber,1989,29,Male
431,Grove St PATH,Hamilton Park,33571,Subscriber,1985,33,Female
1054,Grove St PATH,Morris Canal,33607,Subscriber,1976,42,Male
279,Grove St PATH,Hamilton Park,29205,Subscriber,1976,42,Male
314,Grove St PATH,Marin Light Rail,29487,Subscriber,1991,27,Female
445,Grove St PATH,Morris Canal,29451,Subscriber,1981,37,Female
204,Grove St PATH,Jersey & 6th St,29240,Subscriber,1956,62,Male
325,Grove St PATH,Hamilton Park,26310,Subscriber,1981,37,Female
406,Grove St PATH,Brunswick & 6th,29668,Subscriber,1982,36,Male
298,Grove St PATH,Marin Light Rail,29514,Subscriber,1991,27,Male
259,Grove St PATH,Hamilton Park,33570,Subscriber,1972,46,Male
223,Grove St PATH,Dixon Mills,29538,Subscriber,1976,42,Unknown
787,Grove St PATH,Brunswick & 6th,26179,Subscriber,1964,54,Male
613,Grove St PATH,Liberty Light Rail,26223,Subscriber,1978,40,Male
314,Grove St PATH,Hamilton Park,26201,Subscriber,1984,34,Male
349,Grove St PATH,Brunswick St,26247,Subscriber,1984,34,Male
523,Grove St PATH,Liberty Light Rail,29532,Subscriber,1985,33,Male
316,Grove St PATH,Hamilton Park,29197,Subscriber,1977,41,Female
342,Grove St PATH,Brunswick St,26257,Subscriber,1980,38,Female
224,Grove St PATH,Marin Light Rail,29446,Subscriber,1989,29,Female
227,Grove St PATH,Marin Light Rail,33560,Subscriber,1986,32,Male
300,Grove St PATH,York St,29604,Subscriber,56,56,Male
229,Grove St PATH,Hamilton Park,29462,Subscriber,1980,38,Male
365,Grove St PATH,Marin Light Rail,33662,Subscriber,1987,31,Male
368,Grove St PATH,Marin Light Rail,26314,Subscriber,1970,48,Female
213,Grove St PATH,Van Vorst Park,33681,Subscriber,1975,43,Female
237,Grove St PATH,Hamilton Park,29434,Subscriber,1974,44,Male
325,Grove St PATH,Hamilton Park,33586,Subscriber,1978,40,Male
239,Grove St PATH,Marin Light Rail,29231,Subscriber,1983,35,Male
182,Grove St PATH,Jersey & 6th St,29282,Subscriber,1986,32,Female
617,Grove St PATH,Brunswick St,29539,Subscriber,1963,55,Male
241,Grove St PATH,Jersey & 6th St,33600,Subscriber,1956,62,Male
239,Grove St PATH,Van Vorst Park,29213,Subscriber,1989,29,Male
725,Grove St PATH,Lafayette Park,29520,Subscriber,1979,39,Male
241,Grove St PATH,Hamilton Park,33560,Subscriber,1984,34,Male
711,Grove St PATH,Liberty Light Rail,29215,Subscriber,1984,34,Unknown
245,Grove St PATH,Brunswick St,29289,Subscriber,1982,36,Male
506,Grove St PATH,Brunswick & 6th,29206,Subscriber,1988,30,Female
163,Grove St PATH,Jersey & 6th St,26303,Subscriber,1992,26,Male
143,Grove St PATH,Jersey & 3rd,26207,Subscriber,1989,29,Male
675,Grove St PATH,Liberty Light Rail,29503,Subscriber,1950,68,Male
343,Grove St PATH,Brunswick & 6th,29290,Subscriber,1986,32,Male
496,Grove St PATH,Liberty Light Rail,29278,Subscriber,56,56,Male
590,Grove St PATH,Liberty Light Rail,29626,Subscriber,1987,31,Male
267,Grove St PATH,Hamilton Park,26267,Subscriber,1981,37,Male
405,Grove St PATH,Essex Light Rail,29126,Subscriber,1983,35,Male
400,Grove St PATH,Brunswick St,33566,Subscriber,1978,40,Female
464,Grove St PATH,Brunswick St,29663,Subscriber,56,56,Male
520,Grove St PATH,Jersey & 3rd,26204,Subscriber,1985,33,Female
439,Grove St PATH,Brunswick St,26261,Subscriber,1980,38,Male
914,Grove St PATH,Hamilton Park,26249,Subscriber,1969,49,Male
252,Grove St PATH,Grand St,29218,Subscriber,1974,44,Male
667,Grove St PATH,Morris Canal,29463,Subscriber,1991,27,Male
653,Grove St PATH,Morris Canal,33640,Customer,1990,28,Female
639,Grove St PATH,Communipaw & Berry Lane,26182,Subscriber,1983,35,Male
179,Grove St PATH,Van Vorst Park,29524,Subscriber,1981,37,Male
618,Grove St PATH,Lafayette Park,33653,Subscriber,1984,34,Male
221,Grove St PATH,Van Vorst Park,26247,Subscriber,1981,37,Female
216,Grove St PATH,Van Vorst Park,29301,Subscriber,1976,42,Male
247,Grove St PATH,Brunswick & 6th,26300,Subscriber,1981,37,Female
259,Grove St PATH,Brunswick & 6th,29639,Subscriber,1988,30,Male
183,Grove St PATH,Jersey & 3rd,33615,Subscriber,1990,28,Male
209,Grove St PATH,Marin Light Rail,29601,Subscriber,1991,27,Male
538,Grove St PATH,Newport Pkwy,29219,Subscriber,1993,25,Male
343,Grove St PATH,Marin Light Rail,29496,Subscriber,1987,31,Female
279,Grove St PATH,Marin Light Rail,33640,Subscriber,1989,29,Male
362,Grove St PATH,Hamilton Park,29230,Subscriber,1992,26,Female
189,Grove St PATH,York St,26188,Subscriber,1986,32,Male
548,Grove St PATH,Lafayette Park,33606,Subscriber,1977,41,Male
368,Grove St PATH,Morris Canal,33619,Subscriber,1988,30,Female
217,Grove St PATH,Dixon Mills,29239,Subscriber,1996,22,Female
195,Grove St PATH,Marin Light Rail,33652,Subscriber,1970,48,Male
265,Grove St PATH,Marin Light Rail,29466,Subscriber,1990,28,Male
276,Grove St PATH,Harborside,33614,Subscriber,1992,26,Male
253,Grove St PATH,Hamilton Park,33631,Subscriber,1990,28,Male
1056,Grove St PATH,Fairmount Ave,26179,Subscriber,1989,29,Male
360,Grove St PATH,Newport PATH,29551,Subscriber,1969,49,Male
408,Grove St PATH,Essex Light Rail,33625,Subscriber,1983,35,Male
584,Grove St PATH,Newport PATH,29525,Subscriber,1989,29,Female
984,Grove St PATH,JCBS Depot,26287,Subscriber,1991,27,Male
401,Grove St PATH,Lafayette Park,29499,Subscriber,1975,43,Male
402,Grove St PATH,Exchange Place,33649,Subscriber,1970,48,Male
2123,Grove St PATH,Marin Light Rail,26238,Subscriber,1991,27,Male
298,Grove St PATH,Harborside,29285,Subscriber,1969,49,Male
535,Grove St PATH,Liberty Light Rail,33670,Subscriber,1991,27,Male
234,Grove St PATH,Jersey & 6th St,29664,Subscriber,1974,44,Female
743,Grove St PATH,Marin Light Rail,26318,Subscriber,1967,51,Female
223,Grove St PATH,Hamilton Park,29455,Subscriber,1973,45,Male
484,Grove St PATH,Hamilton Park,33665,Subscriber,1956,62,Female
1360,Grove St PATH,Harborside,33653,Subscriber,1974,44,Male
214,Grove St PATH,Dixon Mills,29636,Subscriber,1986,32,Male
431,Grove St PATH,Brunswick & 6th,33614,Subscriber,1985,33,Male
221,Grove St PATH,Marin Light Rail,29503,Subscriber,1975,43,Male
225,Grove St PATH,Van Vorst Park,29659,Subscriber,1975,43,Female
185,Grove St PATH,Jersey & 3rd,29482,Subscriber,1956,62,Female
1652,Grove St PATH,Fairmount Ave,29446,Customer,56,56,Female
215,Grove St PATH,Jersey & 6th St,29541,Subscriber,1974,44,Female
440,Grove St PATH,Liberty Light Rail,29450,Subscriber,1954,64,Male
237,Grove St PATH,Dixon Mills,29490,Subscriber,1963,53,Male
336,Grove St PATH,Newark Ave,29625,Customer,1969,49,Unknown
695,Grove St PATH,Baldwin at Montgomery,26250,Subscriber,1986,32,Male
273,Grove St PATH,Monmouth and 6th,26164,Subscriber,1980,38,Female
335,Grove St PATH,Brunswick & 6th,29218,Subscriber,1993,25,Male
280,Grove St PATH,Jersey & 6th St,33587,Subscriber,1987,31,Female
204,Grove St PATH,Hamilton Park,33600,Subscriber,1987,31,Male
216,Grove St PATH,Van Vorst Park,26225,Subscriber,1981,37,Male
267,Grove St PATH,Warren St,29524,Subscriber,1994,24,Male
230,Grove St PATH,Montgomery St,29609,Subscriber,1986,32,Male
646,Grove St PATH,Jersey & 6th St,29512,Subscriber,1961,57,Female
377,Grove St PATH,Exchange Place,26195,Subscriber,1975,43,Male
378,Grove St PATH,Brunswick St,26215,Subscriber,1981,37,Female
944,Grove St PATH,Newport Pkwy,26259,Customer,1969,49,Unknown
949,Grove St PATH,Newport Pkwy,29256,Subscriber,1993,25,Female
416,Grove St PATH,Brunswick & 6th,29537,Subscriber,1988,30,Female
522,Grove St PATH,Brunswick & 6th,26194,Subscriber,1984,34,Male
175,Grove St PATH,Dixon Mills,29540,Subscriber,1976,42,Male
239,Grove St PATH,Brunswick St,33670,Subscriber,1980,38,Male
332,Grove St PATH,JC Medical Center,29598,Subscriber,1986,32,Male
215,Grove St PATH,Brunswick St,29492,Subscriber,1983,35,Male
129,Grove St PATH,Dixon Mills,26254,Subscriber,1984,34,Male
191,Grove St PATH,Marin Light Rail,33654,Subscriber,1985,33,Male
168,Grove St PATH,Dixon Mills,29507,Subscriber,1975,43,Male
327,Grove St PATH,Brunswick & 6th,26257,Subscriber,1978,40,Male
698,Grove St PATH,Grove St PATH,29260,Customer,1969,49,Unknown
292,Grove St PATH,Hamilton Park,29551,Subscriber,1988,30,Male
371,Grove St PATH,Hamilton Park,29469,Subscriber,1956,62,Male
270,Grove St PATH,Brunswick & 6th,29201,Subscriber,1979,39,Male
233,Grove St PATH,Hamilton Park,29260,Subscriber,1976,42,Male
614,Grove St PATH,Newport PATH,26158,Subscriber,1985,33,Male
235,Grove St PATH,Hamilton Park,33640,Subscriber,1984,34,Male
257,Grove St PATH,Jersey & 6th St,26303,Subscriber,1968,50,Male
2842,Grove St PATH,Liberty Light Rail,29211,Subscriber,1988,30,Male
2841,Grove St PATH,Liberty Light Rail,29290,Subscriber,1991,27,Female
256,Grove St PATH,Brunswick St,26264,Subscriber,1983,35,Male
224,Grove St PATH,JC Medical Center,29628,Subscriber,1984,34,Male
112,Grove St PATH,Jersey & 3rd,29660,Subscriber,1991,27,Male
527,Grove St PATH,Liberty Light Rail,26242,Subscriber,1969,49,Male
293,Grove St PATH,Marin Light Rail,29483,Subscriber,1970,48,Male
256,Grove St PATH,Brunswick & 6th,26290,Subscriber,1986,32,Male
242,Grove St PATH,Marin Light Rail,26171,Subscriber,1963,55,Female
365,Grove St PATH,Essex Light Rail,26238,Subscriber,1990,28,Male
388,Grove St PATH,Brunswick & 6th,26165,Subscriber,1985,33,Male
393,Grove St PATH,Brunswick & 6th,29603,Subscriber,1975,43,Male
321,Grove St PATH,Brunswick & 6th,33575,Subscriber,1981,37,Male
203,Grove St PATH,Jersey & 3rd,26275,Subscriber,1987,31,Female
321,Grove St PATH,Brunswick & 6th,29636,Customer,1969,49,Unknown
371,Grove St PATH,Monmouth and 6th,26250,Subscriber,1980,38,Male
329,Grove St PATH,Brunswick St,26167,Subscriber,1990,28,Male
367,Grove St PATH,Monmouth and 6th,26272,Subscriber,1986,32,Female
